,Year,Ticker,Company,Sector,numEmployees,netIncome,netIncome_per_emp,grossProfit,grossProfit_per_emp,operatingIncome,operatingIncome_per_emp,totalRevenue,totalRevenue_per_emp,totalOperatingExpenses,totalOperatingExpenses_per_emp,mostly_remote
21,2020,KR,Kroger Company (The),Retail Trade,418500.0,2585000000.0,6176.821983273596,31789000000.0,75959.37873357229,3179000000.0,7596.176821983274,132498000000.0,316602.1505376344,129319000000.0,309005.97371565114,1
22,2019,KR,Kroger Company (The),Retail Trade,376650.0,1659000000.0,4404.619673436878,27846000000.0,73930.70489844683,2672000000.0,7094.119208814549,122286000000.0,324667.46316208685,119614000000.0,317573.34395327227,0
23,2018,KR,Kroger Company (The),Retail Trade,338985.0,3110000000.0,9174.44724692833,27501000000.0,81127.48351696978,2677000000.0,7897.104591648598,121852000000.0,359461.3330973347,119175000000.0,351564.2285056861,0
24,2021,TGT,Target Corporation,Retail Trade,409000.0,6946000000.0,16982.885085574573,31042000000.0,75897.31051344743,9062000000.0,22156.479217603912,106005000000.0,259180.9290953545,96943000000.0,237024.44987775065,0
25,2020,TGT,Target Corporation,Retail Trade,368100.0,4368000000.0,11866.340668296658,27610000000.0,75006.7916327085,6834000000.0,18565.60717196414,93561000000.0,254172.7791361043,86727000000.0,235607.17196414017,1
26,2019,TGT,Target Corporation,Retail Trade,331290.0,3281000000.0,9903.709740710556,23248000000.0,70174.16764768028,4728000000.0,14271.484198134563,78112000000.0,235781.33961182047,73384000000.0,221509.8554136859,0
27,2018,TGT,Target Corporation,Retail Trade,298161.0,2937000000.0,9850.382846851198,22057000000.0,73976.81118590292,4227000000.0,14176.904424119855,75356000000.0,252735.9379664007,71129000000.0,238559.03354228084,0
28,2021,SBUX,Starbucks Corporation,Consumer Services,383000.0,4199300000.0,10964.229765013057,8435400000.0,22024.543080939948,4701600000.0,12275.718015665796,29060600000.0,75876.24020887728,24359000000.0,63600.52219321149,0
29,2020,SBUX,Starbucks Corporation,Consumer Services,344700.0,928300000.0,2693.066434580795,5141100000.0,14914.708442123583,1599900000.0,4641.427328111401,23518000000.0,68227.4441543371,21918100000.0,63586.01682622571,0
30,2019,SBUX,Starbucks Corporation,Consumer Services,310230.0,3599200000.0,11601.714856719207,7488100000.0,24137.25300583438,3915700000.0,12621.925668052734,26508600000.0,85448.21583986074,22592900000.0,72826.29017180801,0
31,2018,SBUX,Starbucks Corporation,Consumer Services,279207.0,4518300000.0,16182.617197992888,7316600000.0,26204.93039214633,3810100000.0,13646.147840132948,24719500000.0,88534.67140866812,20909400000.0,74888.52356853518,0
32,2021,IBM,International Business Machines Corporation,Technology Services,375300.0,5743000000.0,15302.424726885158,31486000000.0,83895.55022648547,5772000000.0,15379.696243005596,57351000000.0,152813.74900079935,51579000000.0,137434.05275779378,1
33,2020,IBM,International Business Machines Corporation,Technology Services,337770.0,5590000000.0,16549.72318441543,30865000000.0,91378.74885276964,5596000000.0,16567.486751339668,55179000000.0,163362.6432187583,49583000000.0,146795.15646741865,1
34,2019,IBM,International Business Machines Corporation,Technology Services,303993.0,9431000000.0,31023.7406782393,31534000000.0,103732.65173869136,7539000000.0,24799.91315589504,57714000000.0,189853.0558269434,50175000000.0,165053.14267104835,0
35,2018,IBM,International Business Machines Corporation,Technology Services,273594.0,8728000000.0,31901.31936517544,36937000000.0,135006.76367913443,13218000000.0,48312.5159680212,79591000000.0,290909.47635124635,66373000000.0,242596.9603832252,0
36,2021,LOW,"Lowe’s Companies, Inc.",Retail Trade,340000.0,8442000000.0,24829.41176470588,32056000000.0,94282.35294117648,12255000000.0,36044.117647058825,96250000000.0,283088.23529411765,83995000000.0,247044.11764705885,0
37,2020,LOW,"Lowe’s Companies, Inc.",Retail Trade,306000.0,5835000000.0,19068.62745098039,29582000000.0,96673.20261437909,10892000000.0,35594.771241830065,89597000000.0,292800.6535947712,78705000000.0,257205.8823529412,1
38,2019,LOW,"Lowe’s Companies, Inc.",Retail Trade,275400.0,4281000000.0,15544.662309368192,22943000000.0,83307.91575889615,6422000000.0,23318.80900508352,72148000000.0,261975.3086419753,65726000000.0,238656.4996368918,0
39,2018,LOW,"Lowe’s Companies, Inc.",Retail Trade,247860.0,2314000000.0,9335.9154361333,22908000000.0,92423.14209634472,4970000000.0,20051.642055999357,71309000000.0,287698.7008795288,66339000000.0,267647.0588235294,0
40,2021,UNH,UnitedHealth Group Incorporated,Health Services,330000.0,17285000000.0,52378.78787878788,69652000000.0,211066.66666666663,23970000000.0,72636.36363636363,287597000000.0,871506.0606060605,263627000000.0,798869.696969697,0
41,2020,UNH,UnitedHealth Group Incorporated,Health Services,297000.0,15403000000.0,51861.95286195287,67000000000.0,225589.2255892256,22405000000.0,75437.71043771044,257141000000.0,865794.6127946128,234736000000.0,790356.9023569024,0
42,2019,UNH,UnitedHealth Group Incorporated,Health Services,267300.0,13839000000.0,51773.288439955104,57598000000.0,215480.73325851103,19685000000.0,73643.84586606809,242155000000.0,905929.6670407782,222470000000.0,832285.82117471,0
43,2018,UNH,UnitedHealth Group Incorporated,Health Services,240570.0,11986000000.0,49823.33624308933,53846000000.0,223826.74481439916,17344000000.0,72095.43999667457,226247000000.0,940462.235523964,208903000000.0,868366.7955272894,0
44,2021,TJX,"TJX Companies, Inc. (The)",Retail Trade,320000.0,3282815000.0,10258.796875,17101549000.0,53442.340625,4513932000.0,14106.0375,48549982000.0,151718.69375,44036050000.0,137612.65625,0
45,2020,TJX,"TJX Companies, Inc. (The)",Retail Trade,288000.0,90470000.0,314.13194444444446,10508514000.0,36487.895833333336,70230000.0,243.85416666666663,32136962000.0,111586.67361111112,32066732000.0,111342.81944444444,1
46,2019,TJX,"TJX Companies, Inc. (The)",Retail Trade,259200.0,3272193000.0,12624.201388888889,14850035000.0,57291.801697530864,4416209000.0,17037.84336419753,41716977000.0,160945.1273148148,37300768000.0,143907.28395061727,0
47,2018,TJX,"TJX Companies, Inc. (The)",Retail Trade,233280.0,3059798000.0,13116.41803840878,11141757000.0,47761.30401234568,4218193000.0,18082.1030521262,38972934000.0,167065.0462962963,34754741000.0,148982.9432441701,0
48,2021,WBA,"Walgreens Boots Alliance, Inc.",Retail Trade,315000.0,2542000000.0,8069.841269841269,28067000000.0,89101.58730158731,3664000000.0,11631.746031746032,132509000000.0,420663.49206349207,128845000000.0,409031.7460317461,0
49,2020,WBA,"Walgreens Boots Alliance, Inc.",Retail Trade,283500.0,456000000.0,1608.4656084656085,26077000000.0,91982.36331569664,2938000000.0,10363.31569664903,121982000000.0,430271.6049382716,119044000000.0,419908.28924162255,1
50,2019,WBA,"Walgreens Boots Alliance, Inc.",Retail Trade,255150.0,3982000000.0,15606.505976876348,28159000000.0,110362.53184401333,4820000000.0,18890.84852047815,120074000000.0,470601.6068979032,115254000000.0,451710.758377425,0
51,2018,WBA,"Walgreens Boots Alliance, Inc.",Retail Trade,229635.0,5024000000.0,21878.19800988525,30792000000.0,134091.05754784768,6154000000.0,26799.050667363423,131537000000.0,572809.0230147843,125383000000.0,546009.9723474209,0
52,2021,CVS,CVS Health Corporation,Retail Trade,300000.0,7910000000.0,26366.666666666668,50849000000.0,169496.66666666666,13777000000.0,45923.333333333336,290912000000.0,969706.6666666666,277135000000.0,923783.3333333334,0
53,2020,CVS,CVS Health Corporation,Retail Trade,270000.0,7179000000.0,26588.88888888889,48248000000.0,178696.2962962963,13663000000.0,50603.7037037037,267908000000.0,992251.8518518518,254245000000.0,941648.1481481482,1
54,2019,CVS,CVS Health Corporation,Retail Trade,243000.0,6634000000.0,27300.411522633745,44517000000.0,183197.53086419756,11818000000.0,48633.74485596708,255765000000.0,1052530.8641975308,243947000000.0,1003897.1193415638,0
55,2018,CVS,CVS Health Corporation,Retail Trade,218700.0,-594000000.0,-2716.0493827160494,30878000000.0,141188.8431641518,10051000000.0,45957.93324188386,193919000000.0,886689.529035208,183868000000.0,840731.5957933242,0
56,2021,PEP,"PepsiCo, Inc.",Consumer Non-Durables,291000.0,7618000000.0,26178.694158075603,42429000000.0,145804.12371134022,11798000000.0,40542.95532646048,79474000000.0,273106.529209622,67676000000.0,232563.5738831615,0
57,2020,PEP,"PepsiCo, Inc.",Consumer Non-Durables,261900.0,7120000000.0,27185.94883543337,38637000000.0,147525.77319587627,10936000000.0,41756.39557082856,70372000000.0,268697.9763268423,59436000000.0,226941.58075601372,0
58,2019,PEP,"PepsiCo, Inc.",Consumer Non-Durables,235710.0,7314000000.0,31029.655084637903,37178000000.0,157727.7162615078,10719000000.0,45475.37227949599,67161000000.0,284930.63510245644,56442000000.0,239455.2628229604,0
59,2018,PEP,"PepsiCo, Inc.",Consumer Non-Durables,212139.0,12515000000.0,58994.338617604495,35280000000.0,166306.05404946758,10376000000.0,48911.32700729239,64661000000.0,304804.8685060267,54285000000.0,255893.54149873432,0
60,2021,CTSH,Cognizant Technology Solutions Corporation,Technology Services,289500.0,2137000000.0,7381.692573402418,6914000000.0,23882.556131260797,2807000000.0,9696.027633851469,18507000000.0,63927.461139896375,15700000000.0,54231.43350604491,1
61,2020,CTSH,Cognizant Technology Solutions Corporation,Technology Services,260550.0,1392000000.0,5342.544617156016,6060000000.0,23258.491652274035,2385000000.0,9153.71329879102,16652000000.0,63910.95758971407,14267000000.0,54757.244290923045,1
62,2019,CTSH,Cognizant Technology Solutions Corporation,Technology Services,234495.0,1842000000.0,7855.178148787821,6149000000.0,26222.307511887248,2787000000.0,11885.11482121154,16783000000.0,71570.822405595,13996000000.0,59685.70758438346,0
63,2018,CTSH,Cognizant Technology Solutions Corporation,Technology Services,211046.0,2101000000.0,9955.19923428834,6287000000.0,29789.784667287386,2820000000.0,13362.047520558364,16125000000.0,76405.32491808638,13305000000.0,63043.27739752802,0
64,2021,FDX,FedEx Corporation,Transportation,289000.0,3826000000.0,13238.754325259515,23411000000.0,81006.92041522491,6007000000.0,20785.46712802768,93512000000.0,323570.9342560554,87505000000.0,302785.4671280277,0
65,2020,FDX,FedEx Corporation,Transportation,260100.0,5231000000.0,20111.49557862361,23730000000.0,91234.14071510958,7956000000.0,30588.235294117647,83959000000.0,322795.07881584007,76003000000.0,292206.8435217224,0
66,2019,FDX,FedEx Corporation,Transportation,234090.0,1286000000.0,5493.61356743133,16837000000.0,71925.32786535093,2730000000.0,11662.181212354222,69217000000.0,295685.42013755394,66487000000.0,284023.2389251997,0
67,2018,FDX,FedEx Corporation,Transportation,210681.0,540000000.0,2563.116749967961,14929000000.0,70860.68511161424,1581000000.0,7504.236262406197,69693000000.0,330798.69565836503,68112000000.0,323294.4593959588,0
68,2021,COST,Costco Wholesale Corporation,Retail Trade,288000.0,5007000000.0,17385.416666666668,25245000000.0,87656.25,7223000000.0,25079.86111111111,195929000000.0,680309.0277777778,188706000000.0,655229.1666666666,0
69,2020,COST,Costco Wholesale Corporation,Retail Trade,259200.0,4002000000.0,15439.814814814816,21822000000.0,84189.81481481482,5435000000.0,20968.364197530864,166761000000.0,643368.0555555555,161326000000.0,622399.6913580247,1
70,2019,COST,Costco Wholesale Corporation,Retail Trade,233280.0,3659000000.0,15685.013717421123,19817000000.0,84949.4170096022,4737000000.0,20306.069958847736,152703000000.0,654591.0493827161,147966000000.0,634284.9794238684,0
71,2018,COST,Costco Wholesale Corporation,Retail Trade,209952.0,3134000000.0,14927.221460143272,18424000000.0,87753.39125133364,4480000000.0,21338.21063862216,141576000000.0,674325.5601280293,137096000000.0,652987.3494894071,0
72,2021,HCA,"HCA Healthcare, Inc.",Health Services,275000.0,6956000000.0,25294.545454545456,22492000000.0,81789.09090909091,9678000000.0,35192.72727272727,58752000000.0,213643.63636363635,49074000000.0,178450.9090909091,0
73,2020,HCA,"HCA Healthcare, Inc.",Health Services,247500.0,3754000000.0,15167.676767676769,19290000000.0,77939.39393939394,7262000000.0,29341.41414141414,51533000000.0,208214.14141414143,44271000000.0,178872.72727272726,0
74,2019,HCA,"HCA Healthcare, Inc.",Health Services,222750.0,3505000000.0,15735.129068462402,19295000000.0,86621.77328843996,7218000000.0,32404.040404040403,51336000000.0,230464.64646464647,44118000000.0,198060.60606060605,0
75,2018,HCA,"HCA Healthcare, Inc.",Health Services,200475.0,3787000000.0,18890.135927172963,17528000000.0,87432.34817308892,6642000000.0,33131.31313131313,46677000000.0,232832.02394313505,40035000000.0,199700.71081182192,0
76,2021,WFC,Wells Fargo & Company,Finance,268531.0,21548000000.0,80243.99417571901,82948000000.0,308895.43479151384,29119000000.0,108438.13191028225,82948000000.0,308895.43479151384,53829000000.0,200457.3028812316,0
77,2020,WFC,Wells Fargo & Company,Finance,241678.0,3377000000.0,13973.143593187462,60243000000.0,249269.7925627457,4041000000.0,16720.602090633856,60243000000.0,249269.7925627457,56202000000.0,232549.19047211183,1
78,2019,WFC,Wells Fargo & Company,Finance,217510.0,19715000000.0,90639.46498854696,84227000000.0,387232.5750743265,25967000000.0,119382.95649797612,84227000000.0,387232.5750743265,58260000000.0,267849.6185763504,0
79,2018,WFC,Wells Fargo & Company,Finance,195759.0,22393000000.0,114390.59596407316,84696000000.0,432654.2185403091,28538000000.0,145781.21857824858,84696000000.0,432654.2185403091,56158000000.0,286872.99996206054,0
80,2021,JPM,JP Morgan Chase & Co.,Finance,255351.0,48334000000.0,189284.5534186277,130898000000.0,512619.884002804,59988000000.0,234923.69326926465,130898000000.0,512619.884002804,70910000000.0,277696.19073353935,0
81,2020,JPM,JP Morgan Chase & Co.,Finance,229816.0,29131000000.0,126757.98323788735,102471000000.0,445882.9872084569,36930000000.0,160693.84233205795,102471000000.0,445882.9872084569,65541000000.0,285189.1448763989,1
82,2019,JPM,JP Morgan Chase & Co.,Finance,206834.0,36431000000.0,176136.15458673178,110134000000.0,532474.5203056495,45105000000.0,218073.10402224853,110134000000.0,532474.5203056495,65029000000.0,314401.41628340096,0
83,2018,JPM,JP Morgan Chase & Co.,Finance,186151.0,32474000000.0,174449.88803947577,103744000000.0,557311.3624674316,40836000000.0,219370.43875038595,103744000000.0,557311.3624674316,62908000000.0,337940.9237170457,0
84,2021,T,AT&T Inc.,Communications,230000.0,20081000000.0,87308.69565217392,89057000000.0,387204.347826087,36905000000.0,160456.52173913043,168864000000.0,734191.304347826,131959000000.0,573734.7826086957,1
85,2020,T,AT&T Inc.,Communications,207000.0,-5176000000.0,-25004.830917874395,91840000000.0,443671.497584541,25656000000.0,123942.02898550723,171760000000.0,829758.4541062802,146104000000.0,705816.4251207729,1
86,2019,T,AT&T Inc.,Communications,186300.0,13903000000.0,74626.94578636608,97052000000.0,520944.7128287708,27741000000.0,148904.9919484702,181193000000.0,972587.2249060656,153452000000.0,823682.2329575953,0
87,2018,T,AT&T Inc.,Communications,167670.0,19370000000.0,115524.54225562116,91337000000.0,544742.649251506,31618000000.0,188572.7917934037,170756000000.0,1018405.2006918353,139138000000.0,829832.4088984315,0
88,2021,BAC,Bank of America Corporation,Finance,213000.0,31978000000.0,150131.45539906103,93707000000.0,439938.9671361502,33976000000.0,159511.73708920187,93707000000.0,439938.9671361502,59731000000.0,280427.2300469484,0
89,2020,BAC,Bank of America Corporation,Finance,191700.0,17894000000.0,93343.76630151278,74208000000.0,387104.8513302034,18995000000.0,99087.1152842984,74208000000.0,387104.8513302034,55213000000.0,288017.73604590504,1
90,2019,BAC,Bank of America Corporation,Finance,172530.0,27430000000.0,158986.84286790702,85582000000.0,496041.2681852431,32754000000.0,189845.24430533824,85582000000.0,496041.2681852431,52828000000.0,306196.02387990494,0
91,2018,BAC,Bank of America Corporation,Finance,155277.0,28147000000.0,181269.6020659853,87738000000.0,565041.828474275,34584000000.0,222724.55031975117,87738000000.0,565041.828474275,53154000000.0,342317.27815452387,0
92,2021,C,"Citigroup, Inc.",Finance,210000.0,21952000000.0,104533.33333333331,74990000000.0,357095.2380952381,27469000000.0,130804.76190476192,74990000000.0,357095.2380952381,47521000000.0,226290.47619047615,0
93,2020,C,"Citigroup, Inc.",Finance,189000.0,11047000000.0,58449.735449735446,59572000000.0,315195.7671957672,13632000000.0,72126.98412698413,59572000000.0,315195.7671957672,45940000000.0,243068.78306878303,1
94,2019,C,"Citigroup, Inc.",Finance,170100.0,19401000000.0,114056.43738977073,66849000000.0,392998.2363315697,23901000000.0,140511.46384479717,66849000000.0,392998.2363315697,42948000000.0,252486.77248677248,0
95,2018,C,"Citigroup, Inc.",Finance,153090.0,18045000000.0,117871.84009406233,65500000000.0,427852.89698869945,23445000000.0,153145.20870076423,65500000000.0,427852.89698869945,42055000000.0,274707.6882879352,0
96,2021,MCD,McDonald’s Corporation,Consumer Services,200000.0,7545200000.0,37726.0,12580200000.0,62901.0,9873100000.0,49365.5,23222900000.0,116114.5,13349800000.0,66749.0,0
97,2020,MCD,McDonald’s Corporation,Consumer Services,180000.0,4730500000.0,26280.555555555555,9752100000.0,54178.333333333336,7213300000.0,40073.88888888889,19207800000.0,106710.0,11994500000.0,66636.11111111111,0
98,2019,MCD,McDonald’s Corporation,Consumer Services,162000.0,6025400000.0,37193.82716049383,11179400000.0,69008.64197530864,8954700000.0,55275.92592592593,21364400000.0,131879.01234567902,12409700000.0,76603.08641975309,0
99,2018,MCD,McDonald’s Corporation,Consumer Services,145800.0,5924300000.0,40633.05898491084,10832600000.0,74297.66803840878,8625700000.0,59161.179698216736,21257900000.0,145801.78326474622,12632200000.0,86640.60356652949,0
100,2021,DLTR,"Dollar Tree, Inc.",Retail Trade,199327.0,1327900000.0,6661.917351889107,7746100000.0,38861.26816738324,1849300000.0,9277.719526205685,26321200000.0,132050.34942581787,24471900000.0,122772.6298996122,0
101,2020,DLTR,"Dollar Tree, Inc.",Retail Trade,179394.0,1341900000.0,7480.17077465672,7824600000.0,43616.770432505386,2174300000.0,12120.229015080193,25509300000.0,142196.82565165116,23335000000.0,130076.59663657096,1
102,2019,DLTR,"Dollar Tree, Inc.",Retail Trade,161455.0,827000000.0,5122.174388421979,7040700000.0,43607.85153151466,1584300000.0,9812.649194168003,23610800000.0,146237.7691053853,22026500000.0,136425.1199112173,0
103,2018,DLTR,"Dollar Tree, Inc.",Retail Trade,145309.0,-1590800000.0,-10947.675691390144,6947500000.0,47811.77826623901,1800500000.0,12390.80342113902,22823300000.0,157066.93902898204,21022800000.0,144676.13560784305,0
104,2021,DIS,Walt Disney Company (The),Consumer Services,190000.0,1995000000.0,10500.0,22287000000.0,117300.0,3492000000.0,18378.947368421053,67418000000.0,354831.5789473684,63926000000.0,336452.63157894736,0
105,2020,DIS,Walt Disney Company (The),Consumer Services,171000.0,-2864000000.0,-16748.538011695906,21508000000.0,125777.77777777778,3781000000.0,22111.11111111111,65388000000.0,382385.9649122807,61607000000.0,360274.8538011696,0
106,2019,DIS,Walt Disney Company (The),Consumer Services,153900.0,11054000000.0,71825.86094866796,27546000000.0,178986.35477582843,12030000000.0,78167.64132553607,69607000000.0,452287.1994801819,57577000000.0,374119.5581546459,0
107,2018,DIS,Walt Disney Company (The),Consumer Services,138510.0,12598000000.0,90953.72175294204,26708000000.0,192823.62284311603,14837000000.0,107118.61959425312,59434000000.0,429095.3721752942,44597000000.0,321976.7525810411,0
108,2021,F,Ford Motor Company,Consumer Durables,186000.0,17937000000.0,96435.48387096774,16507000000.0,88747.31182795699,10589000000.0,56930.10752688172,136341000000.0,733016.1290322581,125752000000.0,676086.0215053763,1
109,2020,F,Ford Motor Company,Consumer Durables,167400.0,-1279000000.0,-7640.382317801673,6123000000.0,36577.06093189964,-4001000000.0,-23900.83632019116,127144000000.0,759522.1027479091,131145000000.0,783422.9390681004,1
110,2019,F,Ford Motor Company,Consumer Durables,150660.0,47000000.0,311.9607062259392,12876000000.0,85463.95858223815,113000000.0,750.033187309173,155900000000.0,1034780.3000132748,155787000000.0,1034030.2668259656,0
111,2018,F,Ford Motor Company,Consumer Durables,135594.0,3677000000.0,27117.719073115328,14835000000.0,109407.49590689852,5054000000.0,37273.03568004484,160338000000.0,1182485.9507057834,155284000000.0,1145212.9150257383,0
112,2021,MSFT,Microsoft Corporation,Technology Services,181000.0,72738000000.0,401867.4033149171,135620000000.0,749281.7679558011,83383000000.0,460679.5580110497,198270000000.0,1095414.364640884,114887000000.0,634734.8066298342,1
113,2020,MSFT,Microsoft Corporation,Technology Services,162900.0,61271000000.0,376126.4579496624,115856000000.0,711209.3308778391,69916000000.0,429195.82565991406,168088000000.0,1031847.7593615716,98172000000.0,602651.9337016575,1
114,2019,MSFT,Microsoft Corporation,Technology Services,146610.0,44281000000.0,302032.6035059,96937000000.0,661189.5505081508,52959000000.0,361223.65459382033,143015000000.0,975479.162403656,90056000000.0,614255.5078098356,0
115,2018,MSFT,Microsoft Corporation,Technology Services,131949.0,39240000000.0,297387.6270377191,82933000000.0,628523.1415167982,42959000000.0,325572.7591721044,125843000000.0,953724.5450893906,82884000000.0,628151.7859172862,0
116,2021,RTX,Raytheon Technologies Corporation,Electronic Technology,181000.0,3864000000.0,21348.066298342543,12525000000.0,69198.89502762431,6817000000.0,37662.98342541437,64388000000.0,355734.80662983423,57571000000.0,318071.82320441987,1
117,2020,RTX,Raytheon Technologies Corporation,Electronic Technology,162900.0,-3519000000.0,-21602.209944751383,8620000000.0,52915.899324739104,1770000000.0,10865.561694290976,56587000000.0,347372.6212400246,54817000000.0,336507.0595457336,1
118,2019,RTX,Raytheon Technologies Corporation,Electronic Technology,146610.0,5537000000.0,37766.86447036355,10932000000.0,74565.17290771434,5735000000.0,39117.38626287429,45349000000.0,309317.23620489734,39614000000.0,270199.84994202305,0
119,2018,RTX,Raytheon Technologies Corporation,Electronic Technology,131949.0,5269000000.0,39932.09497608925,7236000000.0,54839.36975649683,3648000000.0,27647.04544937817,34701000000.0,262987.97262578725,31053000000.0,235340.92717640908,0
120,2021,GE,General Electric Company,Producer Manufacturing,174000.0,-6520000000.0,-37471.26436781609,18411000000.0,105810.3448275862,2704000000.0,15540.229885057472,74196000000.0,426413.7931034483,71492000000.0,410873.5632183908,0
121,2020,GE,General Electric Company,Producer Manufacturing,156600.0,5704000000.0,36424.01021711367,16136000000.0,103039.59131545338,-632000000.0,-4035.759897828864,75834000000.0,484252.8735632184,76466000000.0,488288.63346104725,0
122,2019,GE,General Electric Company,Producer Manufacturing,140940.0,-4979000000.0,-35327.08954164893,22461000000.0,159365.68752660707,3553000000.0,25209.308925784026,90221000000.0,640137.6472257698,86668000000.0,614928.3382999859,0
123,2018,GE,General Electric Company,Producer Manufacturing,126846.0,-22355000000.0,-176237.32715261026,21576000000.0,170096.0219478738,6711000000.0,52906.67423489901,97012000000.0,764801.4127367043,90301000000.0,711894.7385018053,0
124,2021,CMCSA,Comcast Corporation,Consumer Services,168000.0,14159000000.0,84279.76190476191,77935000000.0,463898.8095238095,20817000000.0,123910.71428571428,116385000000.0,692767.8571428572,95568000000.0,568857.1428571428,0
125,2020,CMCSA,Comcast Corporation,Consumer Services,151200.0,10534000000.0,69669.31216931216,70443000000.0,465892.8571428572,17493000000.0,115694.44444444444,103564000000.0,684947.0899470899,86071000000.0,569252.6455026455,0
